model_key,model_id,n_train,n_test,epochs,f1_before,f1_after,f1_delta,acc_before,acc_after,train_sec
rubert_tiny,seara/rubert-tiny2-russian-sentiment,6000,900,3,0.51,0.5842,0.0742,0.5111,0.5856,51.9
xlm_roberta,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,6000,900,3,0.5562,0.5941,0.0379,0.5667,0.5967,525.8
rubert_tiny,seara/rubert-tiny2-russian-sentiment,36000,900,3,0.51,0.6123,0.1023,0.5111,0.6133,449.3
xlm_roberta,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,36000,900,3,0.5562,0.6127,0.0565,0.5667,0.6178,7516.5
